SKU,Nomi,Tushim (soʻm),Komissiya va logistika chiqarib tashlangan tushim (soʻm),Tannarxi (soʻm),Soliq,Sof foyda
FOUR-30KPS-61,Kapsulalar kir yuvish uchun konditsionerli va xushboy oqartiruvchikukun Shaxue 61 dona,4261038000,3271281400,2471700000,130851256.0,668730144.0
FOUR-06LAZER-ЗОЛХАКИ,Sig'il va papillomalar uchun kosmetik vosita lazer ruchka koagulyator,2604903000,2007722400,1401300000,80308896.0,526113504.0
FOUR-06LAZER-СЕРЫЙ,Sig'il va papillomalar uchun kosmetik vosita lazer ruchka koagulyator,1974936000,1523548800,1027620000,60941952.0,434986848.0
FOUR-30KPS-10,Kapsulalar kir yuvish uchun konditsionerli va xushboy oqartiruvchikukun Shaxue 61 dona,1529219000,956874700,596700000,38274988.0,321899712.0
FOUR-12LSTR,.,839094000,743184600,392000000,29727384.0,321457216.0
FOUR-06LAZER-БЕЛЫЙ,Sig'il va papillomalar uchun kosmetik vosita lazer ruchka koagulyator,1318540000,1010432000,663740000,40417280.0,306274720.0
FOUR-30KPS-20,Kapsulalar kir yuvish uchun konditsionerli va xushboy oqartiruvchikukun Shaxue 61 dona,610310000,428762800,106100500,17150512.0,305511788.0
FOUR-007MASJ,Orqa va tana massaji uchun matras elektr elka massaji,1939800000,1537440000,1233100000,61497600.0,242842400.0
FOUR-004KAPS-ЗЕЛЕН,Kapsulalar kir yuvish uchun konditsionerli va xushbo'y 61 dona,1460203000,1110775600,836250000,44431024.0,230094576.0
FOUR-30KPS-50,Kapsulalar kir yuvish uchun konditsionerli va xushboy oqartiruvchikukun Shaxue 61 dona,1627606000,1232121800,963600000,49284872.0,219236928.0
